Trait	Fraction of Phenotypic Variance Explained	Chromosome	Peak Position (bp)	LOD	1.5 LOD Confidence Interval (Left) (bp)	1.5 LOD Confidence Interval (Right) (bp)	Genes Under Confidence Interval (Common Name)	Genes Under Confidence Interval (Standard Name)
E6_Berbamine	0.027	7	442344	10.23	436342	448111	HOP2|AGA2|RPL24A|RPL30|CGR1|NA|SCW11|CWH41|TRP5	YGL033W|YGL032C|YGL031C|YGL030W|YGL029W|tF(GAA)G|YGL028C|YGL027C|YGL026C
E6_Berbamine	0.04	8	114929	14.15	100237	122009	MRP4|LAG1|NA|HSE1|RPL14B|CEN8|OSH7|QCR10|LEU5|NA|NEM1|GPA1|TIM10|NA|NA|NA|STP2|ERG11	YHL004W|YHL003C|YHL002C-A|YHL002W|YHL001W|CEN8|YHR001W|YHR001W-A|YHR002W|YHR003C|YHR004C|YHR005C|YHR005C-A|tT(AGU)H|YHRCdelta3|YHRCdelta4|YHR006W|YHR007C
E6_Berbamine	0.009	8	184316	3.28	146815	193238	NA|RPS27B|ECM12|NA|NA|MYO1|MAS2|THR1|PPA1|RPN1|DAP2|NA|YHI9|SLT2|RRM3|ERC1|NA|NA|NA|PIH1|NA|BRL1|PUT2|RRF1|MSC7|VMA10|BCD1|SRB2|NCP1|DOG2	YHRWtau3|YHR021C|YHR021W-A|YHR022C|YHR022C-A|YHR023W|YHR024C|YHR025W|YHR026W|YHR027C|YHR028C|YHR028W-A|YHR029C|YHR030C|YHR031C|YHR032W|YHR032W-A|YHR032C-A|YHR033W|YHR034C|YHR035W|YHR036W|YHR037W|YHR038W|YHR039C|YHR039C-A|YHR040W|YHR041C|YHR042W|YHR043C
E6_Berbamine	0.062	9	259265	23.14	256302	265731	RPL34B|MMF1|PCL7|DFG10|NEO1|NA|SYG1	YIL052C|YIL051C|YIL050W|YIL049W|YIL048W|YIL047C-A|YIL047C
E6_Berbamine	0.012	10	510687	4.6	497581	531783	RAD26|HUL4|NA|NA|NA|GEF1|URB2|NUP85|POL32|IMT3|NA|VPS55|SSC1|TAH11|NA|ANB1|CYC1|UTR1|ISY1|OSM1|NA	YJR035W|YJR036C|YJR037W|YJR038C|YJR039W|YJR040W|YJR041C|YJR042W|YJR043C|tM(CAU)J3|YJRWdelta14|YJR044C|YJR045C|YJR046W|tS(AGA)J|YJR047C|YJR048W|YJR049C|YJR050W|YJR051W|YJRCdelta15
E6_Berbamine	0.014	12	345679	5.51	339778	384825	ICT1|NA|ERG27|NA|APC9|CDC45|LCL2|SEN2|SNR79|MDN1|REX3|NA|SNR6|NA|AHP1|CCW12|NA|NA|HOG1|NA|NA|AVL9|CFT2|MSL5|CLF1|NA	YLR099C|YLR099W-A|YLR100W|YLR101C|YLR102C|YLR103C|YLR104W|YLR105C|snR79|YLR106C|YLR107W|YLRCdelta5|snR6|YLR108C|YLR109W|YLR110C|YLR111W|YLR112W|YLR113W|YLRWsigma2|tR(ACG)L|YLR114C|YLR115W|YLR116W|YLR117C|YLR118C
E6_Berbamine	0.019	12	659352	7.04	623832	681565	ARV1|NA|MAP1|CDD1|ERF2|NA|IRC20|RCK2|YEF3|SSP120|SYM1|NA|NA|NDL1|NA|HAP1|NA|NA|NA|NA|NA|NA|NA|NA|GSY2|HSP60|LCB5|VPS63|YPT6|TMA7|RED1|RPS28B|NA|NEJ1|PDR8|BOP2|SEC22|NA|DCS1	YLR242C|YLR243W|YLR244C|YLR245C|YLR246W|tL(CAA)L|YLR247C|YLR248W|YLR249W|YLR250W|YLR251W|YLR252W|YLR253W|YLR254C|YLR255C|YLR256W|YLRWTy1-3|YLRWdelta13|YLR256W-A|YLRWdelta14|tA(AGC)L|YLRWsigma3|YLRWdelta15|YLR257W|YLR258W|YLR259C|YLR260W|YLR261C|YLR262C|YLR262C-A|YLR263W|YLR264W|YLR264C-A|YLR265C|YLR266C|YLR267W|YLR268W|YLR269C|YLR270W
E6_Berbamine	0.055	13	84896	20.33	74632	94190	ARG81|TAF13|VPS9|NA|RAD10|NA|GIM5|UTP14|PRE8|RPM2|NA|NA|UFO1	YML099C|YML098W|YML097C|YML096W|YML095C|YML094C-A|YML094W|YML093W|YML092C|YML091C|YML090W|YML089C|YML088W
E6_Berbamine	0.035	14	457245	13.21	437957	481897	AIM37|OCA1|RAS2|NA|PHO23|NA|NA|RPS7B|NA|APP1|YPT53|NA|NST1|RHO2|NA|TOP2|TCB2|NA|MKT1|END3|SAL1|PMS1|SWS2|EOS1|TPM1|NIS1|APJ1	YNL100W|YNL099C|YNL098C|YNL097C-B|YNL097C|YNL097W-A|tL(CAA)N|YNL096C|YNL095C|YNL094W|YNL093W|YNL092W|YNL091W|YNL090W|YNL089C|YNL088W|YNL087W|YNL086W|YNL085W|YNL084C|YNL083W|YNL082W|YNL081C|YNL080C|YNL079C|YNL078W|YNL077W
E6_Berbamine	0.009	15	186481	3.62	140220	197158	HMI1|RFC4|TRM10|NA|SPO21|MSH2|HAL9|MPD2|NA|NA|ADH1|NA|NA|PHM7|ATG34|NA|ATG19|IRA2|REX4|NA|AVO1|ATP19|BRX1|MDM20|NA|NA|THP1|EMI5	YOL095C|YOL094C|YOL093W|YOL092W|YOL091W|YOL090W|YOL089C|YOL088C|YOL087C|YOL086W-A|YOL086C|YOL085W-A|YOL085C|YOL084W|YOL083W|YOL083C-A|YOL082W|YOL081W|YOL080C|YOL079W|YOL078W|YOL077W-A|YOL077C|YOL076W|YOL075C|YOL073C|YOL072W|YOL071W
E6_Berbamine	0.016	16	179595	6.09	159408	218020	RKM1|TYW1|PGC1|NA|HRR25|TPK2|AFT2|YIG1|CSM4|NA|RPL7B|SNR59|NA|OXR1|APL5|DDC1|RSA1|PRM3|NA|NAB3|COA2|GUP2|POS5|MF(ALPHA)1|UIP4|NA|MRN1|RTC6|RTT10|NA|CTI6|TCO89|PPQ1|NA|NA|NA|CBC2|CUP9|TRE1	YPL208W|YPL207W|YPL206C|YPL205C|YPL204W|YPL203W|YPL202C|YPL201C|YPL200W|YPL199C|YPL198W|snR59|YPL197C|YPL196W|YPL195W|YPL194W|YPL193W|YPL192C|YPL191C|YPL190C|YPL189C-A|YPL189W|YPL188W|YPL187W|YPL186C|YPL185W|YPL184C|YPL183W-A|YPL183C|YPL182C|YPL181W|YPL180W|YPL179W|tE(UUC)P|YPLWdelta7|YPLWdelta8|YPL178W|YPL177C|YPL176C
E6_Berbamine	0.011	16	520397	4.23	491386	538748	PHO85|TRM44|SUV3|ERG10|SMA1|SKS1|NA|RMI1|MET12|RAD1|ECM23|ULP1|VTC3|CTF19|IRC15|SWI1|HST2|NA|MRPS16|RRP12|TAF3|RET3|NA	YPL031C|YPL030W|YPL029W|YPL028W|YPL027W|YPL026C|YPL025C|YPL024W|YPL023C|YPL022W|YPL021W|YPL020C|YPL019C|YPL018W|YPL017C|YPL016W|YPL015C|YPL014W|YPL013C|YPL012W|YPL011C|YPL010W|YPL009C
Ethanol	0.005	2	240544	2.1	35639	645733	"NA|NA|NA|NA|ATP1|BNA4|BRN1|NA|NA|NA|ROX3|RPL32|SCS22|MAP2|MRP21|AVT5|TEL1|RPL23A|NA|BOI1|CDC27|NA|ALG3|NA|PET112|NUP170|ATG8|NA|ILS1|SSA3|AAR2|NA|SNR56|RPS8A|NA|KTI11|NA|NA|AST1|NA|PRS4|UBP13|SEF1|NA|PRX1|KIP1|NA|SKT5|YEL1|CMC2|NA|SHP1|PTH2|PTC3|NA|TOD6|NA|SAS3|PIN4|SEC17|MOH1|RRT1|EDE1|PSY4|COR1|NA|ECM13|FUI1|PRE7|ERD2|NA|URA7|NA|MRPL16|APL3|NA|POL12|STU1|RIB1|HEK2|SHE1|PET9|NA|NA|NA|RPL19B|LSM2|RRN10|NCL1|MCM2|PIM1|HAP3|RFT1|APN2|POP8|PEP1|FUS3|ACH1|NA|NA|NA|NA|RRN6|FMT1|NA|SCT1|NA|ALK2|NA|HIR1|SLA1|LDB7|NA|PDR3|NA|NA|NA|NA|NA|NA|NA|UTP20|HTA2|HTB2|ECM15|CEN2|NTH2|RER2|COQ1|GPI18|RCR1|UGA2|DSF2|FLR1|HHF1|HHT1|IPP1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|GRX7|MNN2|NA|KAP104|GAL7|GAL10|GAL1|FUR4|POA1|CHS3|SCO2|OLA1|ETR1|NA|NA|CDS1|RKM3|RPL4A|NA|EDS1|HMT1|PDX3|SNR161|TLC1|CSG2|SCO1|CHS2|ATP3|FIG1|FAT1|CST26|QDR3|TCM62|NA|NA|NA|GIP1|ZTA1|FMP23|RPS11B|REB1|REG2|NA|RFS1|NA|YRO2|PRP6|NA|NA|NA|NA|NA|NA|MUM2|UBP14|TSC3|AKL1|ORC2|TRM7|NA|NA|NA|ECM2|NRG2|TIP1|BAP2|TAT1|ALG14|NA|HSP26|NA|RDH54|NA|ECM8|NA|SLM4|ECM33|RPG1|SEC18|SPT7|NA|NA|UBC4|TEC1|MIS1|RPL19A|AAC3|NA|IST2|RFC5|POL30|NA|NHP6B|NA|TIM12|PHO3|PHO5|PBY1|RXT2|NA|VPS15|MMS4|NA|FES1|EXO84|SIF2|NA|YMC2|VID24|PHO88|IML3|AIM3|CMD1|NA|ALG1|YSA1|SUS1|CYC8|NA|RAD16|LYS2|NA|TKL2|TEF2|MUD1|CBP6|GRS1|NA|MRPL36|TFC1|NA|PTC4|TPS1|NA|NA|VMA2|ATG14|OPY1|SHE3|CCZ1|NA|AGP2|HSL7|NA|CKS1|MEC1|NA|NA|NA|IRA1|NA|NA|MAK5|SUP45|NA|ADH5|MRPS9|RTC2|YSW1|ARA1|TBS1|APD1|SPP381|RIB7|RPB5|CNS1|SLI15|ICS2|AMN1|IFA38|CDC28|CSH1|TOS1|YSY6|EXO5|ARL1|UBS1|TYR1|POP7|PEX32|SSE2|NPL4|SEC66|SMY2|UMP1|NA|SWD3|ECM31|EHT1|NA|FZO1|DTR1|RPS6B|SMP1|NA|YPC1|NA|MBA1|PCH2|GDT1|NTC20|RPS9B|NA|RPL21A|NA|RIM2|MED8|AIM4|MSI1|PGI1|NA|NA|NA|TAF5|KTR4|BEM1|NA|DER1|NA|MCM7|COS111|NA|KTR3|NA|FTH1|DUR1,2|NA|NA|NA|NA|NA|NA|ERV15"	YBLWdelta6|YBLCtau1|tF(GAA)B|YBL100C|YBL099W|YBL098W|YBL097W|YBL096C|YBL095W|YBL094C|YBL093C|YBL092W|YBL091C-A|YBL091C|YBL090W|YBL089W|YBL088C|YBL087C|YBL086C|YBL085W|YBL084C|YBL083C|YBL082C|YBL081W|YBL080C|YBL079W|YBL078C|YBL077W|YBL076C|YBL075C|YBL074C|YBL073W|snR56|YBL072C|YBL071C-B|YBL071W-A|YBL071C|YBL070C|YBL069W|YBL068W-A|YBL068W|YBL067C|YBL066C|YBL065W|YBL064C|YBL063W|YBL062W|YBL061C|YBL060W|YBL059C-A|YBL059W|YBL058W|YBL057C|YBL056W|YBL055C|YBL054W|YBL053W|YBL052C|YBL051C|YBL050W|YBL049W|YBL048W|YBL047C|YBL046W|YBL045C|YBL044W|YBL043W|YBL042C|YBL041W|YBL040C|YBL039W-B|YBL039C|YBL039C-A|YBL038W|YBL037W|YBL036C|YBL035C|YBL034C|YBL033C|YBL032W|YBL031W|YBL030C|YBL029C-A|YBL029W|YBL028C|YBL027W|YBL026W|YBL025W|YBL024W|YBL023C|YBL022C|YBL021C|YBL020W|YBL019W|YBL018C|YBL017C|YBL016W|YBL015W|YBLCdelta7|tI(AAU)B|tG(GCC)B|YBLWsigma1|YBL014C|YBL013W|YBL012C|YBL011W|YBL010C|YBL009W|YBL008W-A|YBL008W|YBL007C|YBL006C|YBL006W-A|YBL005W|YBLWdelta8|YBLWTy1-1|YBLWdelta9|YBL005W-A|YBL005W-B|YBLWdelta10|tS(AGA)B|YBL004W|YBL003C|YBL002W|YBL001C|CEN2|YBR001C|YBR002C|YBR003W|YBR004C|YBR005W|YBR006W|YBR007C|YBR008C|YBR009C|YBR010W|YBR011C|YBRCdelta11|YBR012C|YBRWTy1-2|YBRWdelta12|YBR012W-A|YBR012W-B|YBRWdelta13|YBR013C|YBRCdelta14|tT(AGU)B|YBR014C|YBR015C|YBR016W|YBR017C|YBR018C|YBR019C|YBR020W|YBR021W|YBR022W|YBR023C|YBR024W|YBR025C|YBR026C|YBR027C|YBR028C|YBR029C|YBR030W|YBR031W|YBR032W|YBR033W|YBR034C|YBR035C|snR161|TLC1|YBR036C|YBR037C|YBR038W|YBR039W|YBR040W|YBR041W|YBR042C|YBR043C|YBR044C|tV(UAC)B|YBRWdelta15|YBRWdelta16|YBR045C|YBR046C|YBR047W|YBR048W|YBR049C|YBR050C|YBR051W|YBR052C|YBR053C|YBR054W|YBR055C|tL(UAA)B2|YBR056W|YBRWdelta17|tQ(UUG)B|YBR056W-A|YBR056C-B|YBR057C|YBR058C|YBR058C-A|YBR059C|YBR060C|YBR061C|YBR062C|YBR063C|YBR064W|YBR065C|YBR066C|YBR067C|YBR068C|YBR069C|YBR070C|YBR071W|YBR072W|YBR072C-A|YBR073W|YBR074W|YBR076W|YBR076C-A|YBR077C|YBR078W|YBR079C|YBR080C|YBR081C|tR(UCU)B|tD(GUC)B|YBR082C|YBR083W|YBR084W|YBR084C-A|YBR085W|YBR085C-A|YBR086C|YBR087W|YBR088C|YBR089W|YBR089C-A|YBR090C|YBR091C|YBR092C|YBR093C|YBR094W|YBR095C|YBR096W|YBR097W|YBR098W|YBR099C|YBR101C|YBR102C|YBR103W|YBR103C-A|YBR104W|YBR105C|YBR106W|YBR107C|YBR108W|YBR109C|YBR109W-A|YBR110W|YBR111C|YBR111W-A|YBR112C|YBR113W|YBR114W|YBR115C|YBR116C|YBR117C|YBR118W|YBR119W|YBR120C|YBR121C|YBR121C-A|YBR122C|YBR123C|YBR124W|YBR125C|YBR126C|YBR126W-A|YBR126W-B|YBR127C|YBR128C|YBR129C|YBR130C|YBR131W|YBR131C-A|YBR132C|YBR133C|YBR134W|YBR135W|YBR136W|YBR137W|YBR138C|YBR139W|YBR140C|YBR141C|YBR141W-A|YBR142W|YBR143C|YBR144C|YBR145W|YBR146W|YBR147W|YBR148W|YBR149W|YBR150C|YBR151W|YBR152W|YBR153W|YBR154C|YBR155W|YBR156C|YBR157C|YBR158W|YBR159W|YBR160W|YBR161W|YBR162C|YBR162W-A|YBR163W|YBR164C|YBR165W|YBR166C|YBR167C|YBR168W|YBR169C|YBR170C|YBR171W|YBR172C|YBR173C|YBR174C|YBR175W|YBR176W|YBR177C|YBR178W|YBR179C|YBR180W|YBR181C|YBR182C|YBR182C-A|YBR183W|YBR184W|YBR185C|YBR186W|YBR187W|YBR188C|YBR189W|YBR190W|YBR191W|YBR191W-A|YBR192W|YBR193C|YBR194W|YBR195C|YBR196C|YBR196C-A|YBR196C-B|YBR197C|YBR198C|YBR199W|YBR200W|YBR200W-A|YBR201W|YBR201C-A|YBR202W|YBR203W|YBR204C|YBR205W|YBR206W|YBR207W|YBR208C|YBR209W|tC(GCA)B|YBRCtau2|YBRWdelta18|YBRCdelta19|tE(UUC)B|YBR210W
Ethanol	0.013	4	527443	5.73	511127	547459	LYS14|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13	YDR034C|YDRCdelta2|YDRCdelta3|YDRCTy2-1|YDRCdelta4|YDR034C-D|YDR034C-C|YDRCdelta5|tL(UAA)D|YDRCdelta6a|YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W
Ethanol	0.006	9	37634	2.73	26200	129781	NA|SDL1|NA|NA|NIT1|NA|SUC2|NA|POT1|BNR1|AIM20|COA1|NA|NA|UBP7|GUT2|IMP2'|RRD1|NA|NA|MCM10|MLP2|RPL40A|SLN1|ATG32|PAN6|TID3|SSL2|NA|CCT2|NA|AXL2|REV7|TPM2|TMA108|OM45|VHS2|NA|SNR68|FLX1|RPL16A|CSM2|FKH1|ASG1|TAO3|MET18|RRT14|STH1|KGD1|AYR1|SIM1	YIL168W|YIL167W|YIL166C|YIL165C|YIL164C|YIL163C|YIL162W|YIL161W|YIL160C|YIL159W|YIL158W|YIL157C|YIL156W-A|YIL156W-B|YIL156W|YIL155C|YIL154C|YIL153W|YIL152W|YIL151C|YIL150C|YIL149C|YIL148W|YIL147C|YIL146C|YIL145C|YIL144W|YIL143C|YIL142C-A|YIL142W|YIL141W|YIL140W|YIL139C|YIL138C|YIL137C|YIL136W|YIL135C|YIL134C-A|snR68|YIL134W|YIL133C|YIL132C|YIL131C|YIL130W|YIL129C|YIL128W|YIL127C|YIL126W|YIL125W|YIL124W|YIL123W
Ethanol	0.007	10	578935	3.07	558218	688154	ARP3|TOR1|YAE1|RFC2|HAM1|LIA1|NA|NPA3|OPI3|MOG1|HOC1|CDC11|MIR1|BNA2|NA|AIM24|EAF6|ACF4|CSN12|NA|STE18|NA|EMC2|BIR1|GRR1|JSN1|BUD4|FIP1|IME1|RPL43B|SFC1|NA|JJJ3|NA|YUH1|AIM25|NA|RSM26|VPS25|URA8|SOD1|ADO1|ECM27|NA|ABM1|CPA2|YMR1|NA|NNF1|NA|RSM7|NA|NA|NA|STE24|ILM1|JHD2|NA|ATP2|IBA57|RPS5|NA|ENT3|VPS70|RSF2|NA|SNR3|NA|STR2|MNS1|NMD5|XPT1|SGM1|MCM22|TIM8|TTI2|MET5|IML1	YJR065C|YJR066W|YJR067C|YJR068W|YJR069C|YJR070C|YJR071W|YJR072C|YJR073C|YJR074W|YJR075W|YJR076C|YJR077C|YJR078W|YJR079W|YJR080C|YJR082C|YJR083C|YJR084W|YJR085C|YJR086W|YJR087W|YJR088C|YJR089W|YJR090C|YJR091C|YJR092W|YJR093C|YJR094C|YJR094W-A|YJR095W|YJR096W|YJR097W|YJR098C|YJR099W|YJR100C|tL(UAG)J|YJR101W|YJR102C|YJR103W|YJR104C|YJR105W|YJR106W|YJR107W|YJR108W|YJR109C|YJR110W|YJR111C|YJR112W|YJR112W-A|YJR113C|YJR114W|YJR115W|YJR116W|YJR117W|YJR118C|YJR119C|YJR120W|YJR121W|YJR122W|YJR123W|YJR124C|YJR125C|YJR126C|YJR127C|YJR128W|snR3|YJR129C|YJR130C|YJR131W|YJR132W|YJR133W|YJR134C|YJR135C|YJR135W-A|YJR136C|YJR137C|YJR138W
Ethanol	0.013	11	232563	5.74	223710	247385	APN1|RAD27|ABF1|NA|KTI12|HAP4|SLD2|NA|NA|AAT1|NA|GFA1|LAP4	YKL114C|YKL113C|YKL112W|YKL111C|YKL110C|YKL109W|YKL108W|YKL107W|YKL106C-A|YKL106W|YKL105C|YKL104C|YKL103C
Ethanol	0.037	12	677134	16.48	643840	692876	NA|NDL1|NA|HAP1|NA|NA|NA|NA|NA|NA|NA|NA|GSY2|HSP60|LCB5|VPS63|YPT6|TMA7|RED1|RPS28B|NA|NEJ1|PDR8|BOP2|SEC22|NA|DCS1|NA|YCS4|NA|NA|NA|PIG1|MCM5	YLR253W|YLR254C|YLR255C|YLR256W|YLRWTy1-3|YLRWdelta13|YLR256W-A|YLRWdelta14|tA(AGC)L|YLRWsigma3|YLRWdelta15|YLR257W|YLR258W|YLR259C|YLR260W|YLR261C|YLR262C|YLR262C-A|YLR263W|YLR264W|YLR264C-A|YLR265C|YLR266C|YLR267W|YLR268W|YLR269C|YLR270W|YLR271W|YLR272C|tV(AAC)L|YLRCdelta16|YLRWdelta17|YLR273C|YLR274W
Ethanol	0.092	14	377033	32.4	374661	381891	FYV6|NA|KRE33|TOM22|CPT1|DGR1|NRK1	YNL133C|tF(GAA)N|YNL132W|YNL131W|YNL130C|YNL130C-A|YNL129W
Ethanol	0.019	14	462480	0.42	377033	467030	KRE33|TOM22|CPT1|DGR1|NRK1|TEP1|FAR11|SPC98|ESBP6|NAF1|NMA111|NA|TOM70|NA|NCS2|DCP2|MLS1|DMA2|NA|NA|RPC19|DBP2|CYB5|NOP15|NA|NA|YAF9|INP52|RRT16|LEU4|NA|MET4|POL1|AVT4|AIM37|OCA1|RAS2|NA|PHO23|NA|NA|RPS7B|NA|APP1|YPT53|NA|NST1|RHO2|NA|TOP2|TCB2|NA	YNL132W|YNL131W|YNL130C|YNL130C-A|YNL129W|YNL128W|YNL127W|YNL126W|YNL125C|YNL124W|YNL123W|YNL122C|YNL121C|YNL120C|YNL119W|YNL118C|YNL117W|YNL116W|YNL115C|YNL114C|YNL113W|YNL112W|YNL111C|YNL110C|YNL109W|YNL108C|YNL107W|YNL106C|YNL105W|YNL104C|YNL103W-A|YNL103W|YNL102W|YNL101W|YNL100W|YNL099C|YNL098C|YNL097C-B|YNL097C|YNL097W-A|tL(CAA)N|YNL096C|YNL095C|YNL094W|YNL093W|YNL092W|YNL091W|YNL090W|YNL089C|YNL088W|YNL087W|YNL086W
Ethanol	0.29	14	466590	6.44	466105	473649	NA|MKT1|END3|SAL1|PMS1	YNL086W|YNL085W|YNL084C|YNL083W|YNL082W
Ethanol	0.035	15	179850	15.25	158074	189231	NA|NA|ADH1|NA|NA|PHM7|ATG34|NA|ATG19|IRA2|REX4|NA|AVO1|ATP19|BRX1|MDM20	YOL087C|YOL086W-A|YOL086C|YOL085W-A|YOL085C|YOL084W|YOL083W|YOL083C-A|YOL082W|YOL081W|YOL080C|YOL079W|YOL078W|YOL077W-A|YOL077C|YOL076W
Ethanol	0.024	15	396793	10.73	339986	487556	NA|NA|SLG1|NA|NA|TIR4|TIR2|AUS1|NA|NA|NA|NA|NA|IRC11|RTS1|NA|ERP4|PET127|ROD1|NA|HSP10|NA|NA|NA|AHC1|NA|HST3|BUB3|STI1|CIN5|NA|DFG16|CRS5|HMS1|NA|EXO1|AKR2|NA|SHE4|PEP12|CYC2|HIR2|CKB2|GLO4|SNR9|NA|CUE5|SNR62|WHI2|IRC23|TOM6|DBP5|STD1|RAT1|RSB1|NA|ETT1|NA|NA|VHS3|NA|NOB1|SGT1|ASE1|NA|NA|NA|NA|CKA2|NA|RPL3|YNG1|CYT1|MSA1|ALG8|VPS5|VAM10|GYP1|NRT1|NA|NA|SUF11|NA|SGO1|CDC21|NA|UFE1|SKI7|RTS2|BUD21|ATX2|DIA2|TGL5|NA|WHI5|LPX1|OST3|TCB1|NA	tR(ACG)O|YORCdelta9|YOR008C|YOR008C-A|YOR008W-B|YOR009W|YOR010C|YOR011W|tT(AGU)O2|YORWsigma2|YORWdelta10|YOR011W-A|YOR012W|YOR013W|YOR014W|YOR015W|YOR016C|YOR017W|YOR018W|YOR019W|YOR020C|YOR020W-A|YOR021C|YOR022C|YOR023C|YOR024W|YOR025W|YOR026W|YOR027W|YOR028C|YOR029W|YOR030W|YOR031W|YOR032C|YOR032W-A|YOR033C|YOR034C|YOR034C-A|YOR035C|YOR036W|YOR037W|YOR038C|YOR039W|YOR040W|snR9|YOR041C|YOR042W|snR62|YOR043W|YOR044W|YOR045W|YOR046C|YOR047C|YOR048C|YOR049C|YOR050C|YOR051C|YOR052C|YOR053W|YOR054C|YOR055W|YOR056C|YOR057W|YOR058C|YORCdelta11|tK(UUU)O|YOR059C|YOR060C|YOR061W|YOR062C|YOR063W|YOR064C|YOR065W|YOR066W|YOR067C|YOR069W|YOR068C|YOR070C|YOR071C|YOR072W|YOR072W-A|tP(UGG)O2|YOR072W-B|YOR073W|YOR074C|YOR073W-A|YOR075W|YOR076C|YOR077W|YOR078W|YOR079C|YOR080W|YOR081C|YOR082C|YOR083W|YOR084W|YOR085W|YOR086C|tN(GUU)O2
Formamide	0.024	3	196327	7.35	175324	204746	SYP1|SNR65|RPS14A|SNR189|BPH1|SNT1|FEN1|RRP43|RBK1|PHO87|BUD5|MATALPHA|NA|MATALPHA2|MATALPHA1|NA|TAF2	YCR030C|snR65|YCR031C|snR189|YCR032W|YCR033W|YCR034W|YCR035C|YCR036W|YCR037C|YCR038C|MATALPHA|YCR038W-A|YCR039C|YCR040W|YCR041W|YCR042C
Formamide	0.025	4	997621	7.76	959280	1006082	NA|NA|PAM1|BTT1|MET32|CHL4|RMD5|CTA1|RKM4|HSP78|YAP6|SWM1|EXG2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|DIN7|AKR1|PEX10|NA|CIA1|MSW1|NA|CCC2	YDR249C|YDR250C|YDR251W|YDR252W|YDR253C|YDR254W|YDR255C|YDR256C|YDR257C|YDR258C|YDR259C|YDR260C|YDR261C|tS(AGA)D2|YDRWTy2-3|YDRWdelta19|YDR261W-A|YDR261W-B|YDRWdelta20|YDRCTy1-3|YDRCdelta21|YDR261C-D|YDR261C-C|YDRCdelta22|YDRCsigma4|tG(GCC)D2|YDR262W|YDR263C|YDR264C|YDR265W|YDR266C|YDR267C|YDR268W|YDR269C|YDR270W
Formamide	0.108	8	101490	31.35	99085	113926	NA|MRP4|LAG1|NA|HSE1|RPL14B|CEN8|OSH7|QCR10|LEU5|NA|NEM1|GPA1	YHL005C|YHL004W|YHL003C|YHL002C-A|YHL002W|YHL001W|CEN8|YHR001W|YHR001W-A|YHR002W|YHR003C|YHR004C|YHR005C
Formamide	0.031	8	456019	9.39	421098	482776	YAP1801|NA|SOL3|DNA2|PRP8|NA|CDC23|THP2|MTG2|DBP8|NMD3|ATG7|SPC97|NA|ENO2|CTR2|NA|FMO1|NA|STB5|OYE2|NA|NA|NA|NA|NA|NA|NA|SVP26|NA|NA|GND1|SSP1|PFS1|NA|KOG1|IKI1|GPI16	YHR161C|YHR162W|YHR163W|YHR164C|YHR165C|YHR165W-A|YHR166C|YHR167W|YHR168W|YHR169W|YHR170W|YHR171W|YHR172W|YHR173C|YHR174W|YHR175W|YHR175W-A|YHR176W|YHR177W|YHR178W|YHR179W|YHRCdelta12|YHR180W|YHRWdelta13|YHRCsigma3|YHR180W-A|YHR180C-B|tT(UGU)H|YHR181W|YHR182W|YHR182C-A|YHR183W|YHR184W|YHR185C|tV(CAC)H|YHR186C|YHR187W|YHR188C
Formamide	0.016	12	648651	4.82	635888	677007	RCK2|YEF3|SSP120|SYM1|NA|NA|NDL1|NA|HAP1|NA|NA|NA|NA|NA|NA|NA|NA|GSY2|HSP60|LCB5|VPS63|YPT6|TMA7|RED1|RPS28B|NA|NEJ1|PDR8	YLR248W|YLR249W|YLR250W|YLR251W|YLR252W|YLR253W|YLR254C|YLR255C|YLR256W|YLRWTy1-3|YLRWdelta13|YLR256W-A|YLRWdelta14|tA(AGC)L|YLRWsigma3|YLRWdelta15|YLR257W|YLR258W|YLR259C|YLR260W|YLR261C|YLR262C|YLR262C-A|YLR263W|YLR264W|YLR264C-A|YLR265C|YLR266C
